"V1","V2","word"
-5.6536975598184e-18,0.242417949639082,"drain"
-1.27985880396532e-17,0.0438823546322207,"rabe"
-3.82920975865994e-17,0.027847434511025,"bean"
2.06053490464476e-17,0.00447984345429567,"brussels"
-1.09199508166641e-17,0.0136837270156813,"sauce"
-4.03203075016891e-18,0.00542142747377998,"vinaigrette"
9.43834443854794e-18,0.0228014033424422,"liquid"
6.78848599109808e-17,-0.00244442676754403,"tomato"
4.57222678808769e-19,0.0194727556274154,"reserve"
-1.14122666494064e-17,0.0272577725631082,"sheet"
5.60185500560756e-17,0.0137320648733822,"put"
-5.45129311756084e-17,0.0107600212903266,"fennel"
-1.84483353113282e-17,0.0658735601991282,"simmer"
1.35681257022946e-17,0.00975746216068111,"shallot"
-3.08191607490045e-17,0.0405730586125334,"foil"
7.91773570289876e-17,0.00594407326545213,"seed"
6.16296735157189e-18,0.00814694548695638,"plate"
5.85736366296786e-17,0.0134382691032471,"sprout"
-8.27000284445088e-18,0.0881695310992865,"skillet"
5.08151256278616e-17,0.0381975197934779,"room"
-1.76189308735763e-17,0.0385624398431751,"brown"
-8.87083468341615e-17,0.00473832634249148,"half"
3.97851490521059e-17,0.0900818356238191,"ahead"
-3.92552531900423e-17,0.0140781209624006,"chop"
2.92593746282403e-17,0.0153150805327891,"grill"
7.90276482990092e-18,0.0371858636876314,"roast"
1.06187215985652e-18,0.0183689815917458,"pour"
-2.46067674540968e-17,0.194905843937839,"water"
-1.57011977429868e-17,0.0220823775347464,"make"
-1.54711816057904e-17,0.0112112947450909,"use"
-1.61474832240327e-17,0.0807883927920523,"can"
1.65122868460163e-18,0.0527965728756284,"celery"
1.74971400011971e-17,0.0405568220657823,"saucepan"
-3.19518245223217e-17,0.018040008322302,"cabbage"
-1.77574234363657e-17,0.000211244685617453,"arugula"
-4.82731165552324e-17,0.0378604295913894,"chill"
1.83287909533854e-17,0.0130331498863069,"sugar"
9.18130820910339e-18,-0.00395377852048939,"taste"
-1.19416228048615e-17,-0.00151780846161162,"together"
3.65047638195014e-17,-0.00163186953315761,"tablespoon"
7.6519377847046e-18,0.0135494746627783,"vegetable"
4.13267795041113e-18,0.00315141288603378,"drizzle"
6.2747435921837e-17,-0.00656301387008315,"lemon"
3.27366390621206e-17,0.00512564841198172,"ingredient"
-3.92801106739634e-17,0.056549123638542,"peel"
2.17522608270019e-17,0.00841623277392992,"leave"
-8.04585653210946e-18,0.0525868279155651,"bring"
-5.42310935496323e-17,0.0166306764579043,"green"
-8.75326670680224e-18,0.0380942767599755,"pan"
2.6487817618534e-17,0.105062080661926,"good"
-2.47814108628962e-17,-0.00511822429244985,"sprinkle"
3.77029619414728e-17,0.0356710373505167,"inch"
-4.74966828433017e-17,-0.00803164407539582,"mix"
8.80636227441487e-19,0.0349761906803473,"remove"
4.94560921926402e-18,0.012364806427852,"orange"
4.86398204165368e-17,0.0307586938801566,"transfer"
2.68080740522431e-17,0.00324840269678143,"top"
-3.76401395429302e-17,0.000665550674726191,"mixture"
6.22998380959817e-19,0.028385134301564,"garlic"
5.55891689494369e-18,0.0494182665192313,"hour"
2.40663899891235e-17,-0.0104023071337713,"teaspoon"
-3.83692603797966e-17,0.00224730813238554,"salad"
-4.72680895370679e-17,0.0508788322082336,"let"
-2.22468275751841e-17,0.154785434434727,"cool"
3.80499637929106e-19,0.00703697177392276,"onion"
8.14678769970417e-18,0.0126855779965393,"cup"
2.32214402418871e-17,-0.00258979540075762,"remain"
1.13791034724889e-18,0.0261629372503715,"medium"
-6.61371033485399e-18,0.0105135684223467,"coat"
1.94155946489179e-17,0.00961328965690761,"slice"
1.17187004076582e-17,0.0150525320349132,"place"
-4.07698224678085e-17,-0.00697216923887232,"small"
3.62586683118976e-17,0.0829939896868757,"tender"
2.89344444611196e-17,0.0630529653567929,"boil"
1.03231623300108e-18,0.0252696714225614,"bake"
-7.81196498630795e-18,-0.0125145517845557,"olive"
-8.66470889143539e-18,-0.012289913487264,"juice"
9.99670588194893e-18,0.0114051916732111,"dress"
1.78675309404141e-17,-0.00346611982819281,"preheat"
-4.60168692106789e-18,0.00437054333296515,"oven"
3.16900627935207e-17,0.088877215469547,"large"
1.35194141159312e-17,-0.0126122666392169,"combine"
9.44742848186831e-18,0.0900674377758566,"cut"
-2.26959713421188e-17,-0.0168355785046788,"season"
-7.57203703786346e-18,-0.0117895258067853,"whisk"
-3.8540780521446e-17,-0.011052264174286,"vinegar"
1.00097610596246e-17,0.057084206021159,"cover"
-3.68223670147807e-17,0.0437367682390818,"bowl"
2.4682353301293e-17,0.0899778022740249,"cook"
4.37487685771833e-17,0.129905711068661,"minute"
2.1771531743152e-17,0.0234525142257217,"toss"
3.94918195697496e-17,0.0163599220251339,"stir"
2.28007524391364e-17,-0.0443900457242554,"pepper"
-3.15303059479153e-17,0.0657628538459654,"add"
-7.02786615543298e-17,0.0690999831561156,"heat"
-3.5304737586912e-17,0.0287458965689854,"oil"
6.58576006602796e-18,-0.0431114394061615,"salt"
3.08633581535948e-17,0.0249056602758159,"beet"
